2024-11-20T10:40:17+07:00,------------------ New Match 12 ------------------
2024-11-20T10:40:17+07:00,Player A 🧍🏻 & Player B 🧍🏻 on the court
2024-11-20T10:40:19+07:00,[Alert] Player A wins!
2024-11-20T10:40:19+07:00,------------------- Game Over -------------------
2024-11-20T10:41:07+07:00,------------------ New Match 13 ------------------
2024-11-20T10:41:07+07:00,Player A 🧍🏻 & Player B 🧍🏻 on the court
2024-11-20T10:41:11+07:00,(t1) [Player A] 🏓 💥 {71} ========== [51] ==========> 🏓 [Player B] 
2024-11-20T10:41:14+07:00,(t2) [Player B] 🏓 💥 {66} ========== [56] ==========> 🏓 [Player A] 
2024-11-20T10:41:17+07:00,(t3) [Player A] 🏓 💥 {71} ========== [52] ==========> 🏓 [Player B] 
2024-11-20T10:41:20+07:00,(t4) [Player B] 🏓 💥 {85} ========== [75] ==========> 🏓 [Player A] 
2024-11-20T10:41:23+07:00,(t5) [Player A] 🏓 💥 {100} ========== [74] ==========> 🏓 [Player B] 
2024-11-20T10:41:26+07:00,(t6) [Player B] 🏓 💥 {90} ========== [72] ==========> 🏓 [Player A] 
2024-11-20T10:41:29+07:00,(t7) [Player A] 🏓 💥 {94} ========== [83] ==========> 💀 [59] [Player B] 
2024-11-20T10:41:29+07:00,[Alert] Player A wins!
2024-11-20T10:41:29+07:00,------------------- Game Over -------------------
